報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項,生產國別
AA/13/441/G1664,1,4549131673197,Balance Board Polypropylene 平衡板,9506.91.00.00-1,CI999999999999,一般查驗 (General Inspection),CHINA CN
AA/13/441/G1664,2,4549131740578,CI Shopping Bag -Camouflage- pct Polyester 購物袋,4202.92.90.92-7,,,CHINA CN
AA/13/441/G1664,3,4549131857252,PLASTIC BRUSHPolystyrene Polypropylene沐浴刷,9603.29.00.00-0,,刷具 - 注意動物毛/植物毛,CHINA CN
AA/13/441/G1664,4,4549131870787,Spray Bottle Body Polyethyleneterephthalate resin Lid Polypropylene 噴霧瓶 ( ),8424.89.90.00-7,,,CHINA CN
AA/13/441/G1664,5,4549131870916,"FT Square Mirror Stand Polystyrene , Glass立鏡【 × × cm】",7009.92.00.00-6,,,CHINA CN
AA/13/441/G1664,6,4549131948776,CI Push-Up Bar Body： Polypropylene Cap： Polyvinyl chloride Handle： Synthetic rubber伏地挺身架,9506.91.00.00-1,,,CHINA CN
AA/13/441/G1664,7,4549131951615,Foaming Pump Bottle - m L - fl oz- PET Polypropylene泡沫按壓瓶 ( ),8413.20.00.00-1,,,CHINA CN
AA/13/441/G1664,8,4549131951622,Foaming Pump Bottle - m L - fl oz-PET Polypropylene泡沫按壓瓶 ( ),8413.20.00.00-1,,,CHINA CN
AA/13/441/G1664,9,4549131983609,"CI Transparent case -six-steppull- Polystyrene 小物收納盒 ,",3924.90.00.90-9,,塑膠/美耐皿檢驗 (Plastic/Melamine),CHINA CN
AA/13/441/G1664,10,4549892091414,Magic Curler - cm-aluminum. polypropylene.nylon 髮捲,9615.90.00.00-0,,,CHINA CN
AA/13/441/G1664,11,4549892091421,Magic Curler - cm-aluminum. polypropylene.nylon 髮捲,9615.90.00.00-0,,,CHINA CN
AA/13/441/G1664,12,4549892091438,hair curler paluminum. polypropylene.nylon 髮捲,9615.90.00.00-0,,,CHINA CN
AA/13/441/G1664,13,4549892096747,Magic Curler - cm - in- pcs.- Polypropylene heatresistant to ℃ °FAluminum Nylon 髮捲,9615.90.00.00-0,,,CHINA CN
AA/13/441/G1664,14,4549892096754,Magic Curler - cm - in- pc.- Polypropylene heatresistant to ℃ °FAluminum Nylon 髮捲,9615.90.00.00-0,,,CHINA CN
AA/13/441/G1664,15,4549892096952,Magic Curler cm - in- pcs.- Polypropylene heatresistant to ℃ °FAluminum Nylon 髮捲,9615.90.00.00-0,,,CHINA CN
AA/13/441/G1664,16,4549892096969,Magic Curler cm - in- pcs.- Polypropylene heatresistant to ℃ °FAluminum Nylon 髮捲,9615.90.00.00-0,,,CHINA CN
AA/13/441/G1664,17,4550480004006,"spray perfume bottle withflower shape stone slim tyre ml - Body： Glass,Polypropylene, Polyethylene,Aluminum 香水分裝噴霧瓶",9616.10.00.00-6,,,CHINA CN
AA/13/441/G1664,18,4550480004044,Refillable Simple Perfume Bottle ml - Body：Glass Polypropylene Polyyethylene Aluminum 香水分裝噴霧瓶,9616.10.00.00-6,,,CHINA CN
AA/13/441/G1664,19,4550480065885,CI R Box-. ftx inx in- cmx cmx cm-White-Polypropylene 附蓋收納箱,3924.90.00.90-9,,塑膠/美耐皿檢驗 (Plastic/Melamine),CHINA CN
AA/13/441/G1664,20,4550480065915,CI R Box - ft x in x in - cm x cm x cm-White- Polypropylene附蓋收納箱,3924.90.00.90-9,,塑膠/美耐皿檢驗 (Plastic/Melamine),CHINA CN
AA/13/441/G1664,21,4550480073491,"Folding Soft Basket( L White)Frame, bottom：Polypropylene Collapsible part：Thermoplastic elastomer折疊水桶",3924.90.00.90-9,CI999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 一般查驗 (General Inspection),CHINA CN
AA/13/441/G1664,22,4550480203454,CI Dropper Bottle- floz- m L- PET Polypropylene Silicone rubber Polycarbonate 滴管瓶,3924.90.00.90-9,,塑膠/美耐皿檢驗 (Plastic/Melamine),CHINA CN
AA/13/441/G1664,23,4550480210650,Pump Bottle -Transparent-Square - fl oz- m L-PET Polypropylene 按壓分裝瓶 ( ),8413.20.00.00-1,,,CHINA CN
AA/13/441/G1664,24,4550480210667,Pump Bottle -Transparent- fl oz- m L -PET Polypropylene按壓瓶【 ml】 ( ),8413.20.00.00-1,,,CHINA CN
AA/13/441/G1664,25,4550480210674,Pump Bottle -Transparent - fl oz- m L-PET Polypropylene按壓瓶【 ml】 ( ),8413.20.00.00-1,,,CHINA CN
AA/13/441/G1664,26,4550480263151,CI Shower Pouf - Section -Gray- Polyethylene Polyester搓澡球,6302.93.00.00-1,,紡織品 - 注意成分標示,CHINA CN
AA/13/441/G1664,27,4550480282541,CI DOCUMENT CASE-A -Polypropylene 文件收納盒(A ),3926.10.00.00-3,,,CHINA CN
AA/13/441/G1664,28,4550480331348,"CI Memory Foam Cushion-For Back-Cushion Cover： Polyester, Spandex Cushion Body：Polyurethane低反發腰靠枕【 × × CM】 -",9404.90.00.19-4,FTXB13W0011267,燈具/家具 - 注意檢驗,CHINA CN
AA/13/441/G1664,29,4550480333762,Stackable Storage Container-Clear- Polypropylene堆疊式小物收納盒,3924.90.00.90-9,CI999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 一般查驗 (General Inspection),CHINA CN
AA/13/441/G1664,30,4550480418186,CI Cream Container -With Spatula and Inner Lid - pcs.Applicator：Polypropylene Body：AS resin Lid：Polypropylene Inner lid：Polyethylene乳液分裝盒附挖鏟&內蓋【 G】,3924.90.00.90-9,,塑膠/美耐皿檢驗 (Plastic/Melamine),CHINA CN
AA/13/441/G1664,31,4550480432359,CI Wire Flower -Rose-Body：Steel Coating：Epoxyresin 鐵製裝飾花,8306.29.00.00-2,,,CHINA CN
AA/13/441/G1664,32,4550480432366,CI Wire Flower -Eucalyptus-Body： Steel Coating： Epoxyresin 鐵製裝飾花,8306.29.00.00-2,,,CHINA CN
AA/13/441/G1664,33,4550480432373,CI Wire Flower -Lily of the Valley- Body： Steel Coating： Epoxy resin鐵製裝飾花,8306.29.00.00-2,,,CHINA CN
AA/13/441/G1664,34,4550480432380,CI Wire Flower -Tulip-Body： Steel Coating： Epoxyresin 鐵製裝飾花,8306.29.00.00-2,,,CHINA CN
AA/13/441/G1664,35,4550480432397,CI Wire Flower -Decorative Leaf-Hanging Type- Body： Steel Coating： Epoxy resin鐵製裝飾花,8306.29.00.00-2,,,CHINA CN
AA/13/441/G1664,36,4550480432403,CI Wire Flower -Eucalyptus-Hanging Type- Body： Steel Coating： Epoxy resin鐵製裝飾花,8306.29.00.00-2,,,CHINA CN
AA/13/441/G1664,37,4550480432410,Wire Flower -Tulip - Hanging Type- Body： Steel Coating： Epoxy resin鐵製裝飾花,8306.29.00.00-2,CI999999999999,一般查驗 (General Inspection),CHINA CN
AA/13/441/G1664,38,4550480432427,CI Wire Flower -Rose - Hanging Type- Body： Steel Coating： Epoxy resin鐵製裝飾花,8306.29.00.00-2,,,CHINA CN
AA/13/441/G1664,39,4550480434032,Sponge Roller Refillable Tube - fl oz- m L -Tube：Polyethylene Lid：Polycarbonate Head：Polypropylene SBR海綿滾輪型分裝瓶 J,3923.30.00.00-2,,,CHINA CN
AA/13/441/G1664,40,4550480501772,CI Solar Light -Insert Type -Diamond Shaped-Cover：Polystyrene Metal Part：Stainless steel Stake：Polypropylene太陽能園藝燈,9405.41.90.00-5,,燈具/家具 - 注意檢驗,CHINA CN
AA/13/441/G1664,41,4550480501789,CI Solar Light -Hanging Type -Flower - WH-Top：Polypropylene Cover：Polystyrene Hook：Stainless steel太陽能園藝燈,9405.41.90.00-5,,燈具/家具 - 注意檢驗,CHINA CN
AA/13/441/G1664,42,4550480538525,CI Solar Light -Hanging Type -Flower - LPK-Top：Polypropylene Cover：Polystyrene Hook： Stainless steel太陽能園藝燈,9405.41.90.00-5,,燈具/家具 - 注意檢驗,CHINA CN
AA/13/441/G1664,43,4550480538563,CI Solar Light -House Type - way- Body：Polypropylene Transparentcover: Polystyrene太陽能園藝燈,9405.41.90.00-5,,燈具/家具 - 注意檢驗,CHINA CN
AA/13/441/G1664,44,4997642098792,"CAT'S NAIL CLIPPERSPolypropylene, Stainlesssteel 貓用指甲剪",8213.00.20.00-3,,,CHINA CN
